이름,name
사람,person
나라,country
국적,nationality
베트남,Vietnam
브라질,Brazil
미국,the U.S.
미국 사람,American
한국,Korea
한국 사람,Korean
중국,China
일본,Japan
프랑스,France
호주,Australia
노르웨이,Norway
영국,the UK
케냐,Kenya
러시아,Russia
캐나다,Canada
인사,greetings
저,I
제,my
어느,which
네,yes
안녕하다 (안녕하십니까?),doing well (Hello)
감사합니다,Thank you
괜찮습니다,I am okay
죄송합니다,I am sorry
안녕히 가십시오,goodbye
안녕히 계십시오,goodbye
씨,Mr./Ms.
자메이카,Jamaica
인도,India
반갑다,to be glad
처음 뵙겠습니다,nice to meet you
